证券代码,证券简称,行业名称,总市值,区间涨跌幅
000001.SZ,平安银行,银行,"372,011,451,855.66",18.541
000002.SZ,万科A,房地产,"319,531,588,075.68",-8.0958
000004.SZ,国华网安,医药,"3,409,987,232.50",-8.5436
000005.SZ,世纪星源,电力及公用事业,"2,646,342,105.00",-19.0939
000006.SZ,深振业A,房地产,"7,465,472,604.38",6.3193
000007.SZ,全新好,房地产,"2,979,453,178.40",-9.4737
000008.SZ,神州高铁,机械,"6,979,796,318.46",-30.6204
000009.SZ,中国宝安,综合,"18,905,638,363.45",18.7174
000010.SZ,美丽生态,建筑,"3,238,426,116.35",16.1765
000011.SZ,深物业A,房地产,"6,571,677,929.58",31.0874
000012.SZ,南玻A,建材,"16,582,277,881.17",43.1134
000014.SZ,沙河股份,房地产,"1,651,965,481.53",-11.9361
000016.SZ,深康佳A,家电,"11,985,118,356.18",48.7689
000017.SZ,*ST中华A,机械,"929,132,057.43",-46.2389
000019.SZ,深粮控股,农林牧渔,"8,411,756,462.61",26.2476
000020.SZ,深华发A,电子,"2,097,803,533.21",-5.0609
000021.SZ,深科技,电子,"27,071,172,279.20",51.4709
000023.SZ,深天地A,建材,"2,246,463,525.60",24.4115
000025.SZ,特力A,综合,"6,747,367,127.07",-20.5295
000026.SZ,飞亚达,商贸零售,"4,328,236,314.71",0.9996
000027.SZ,深圳能源,电力及公用事业,"28,924,930,689.28",18.6093
000028.SZ,国药一致,医药,"17,733,077,464.17",-0.0117
000029.SZ,深深房A,房地产,"6,701,540,832.00",-33.8575
000030.SZ,富奥股份,汽车,"13,008,827,509.51",57.614
000031.SZ,大悦城,房地产,"18,859,778,691.60",-36.8781
000032.SZ,深桑达A,通信,"7,739,604,250.53",32.4693
000034.SZ,神州数码,计算机,"14,125,599,056.52",8.9076
000035.SZ,中国天楹,电力及公用事业,"10,347,486,917.70",-33.5494
000036.SZ,华联控股,房地产,"5,920,896,759.75",0.3061
000037.SZ,深南电A,电力及公用事业,"4,658,310,295.65",-11.4108
000038.SZ,深大通,传媒,"4,929,791,061.17",-20.4219
000039.SZ,中集集团,机械,"42,000,943,042.23",49.7746
000040.SZ,东旭蓝天,电力及公用事业,"5,055,371,158.00",-18.6603
000042.SZ,中洲控股,房地产,"5,916,997,137.10",-17.1227
000045.SZ,深纺织A,电子,"3,356,921,536.00",-5.5034
000046.SZ,泛海控股,房地产,"17,095,500,158.24",-26.0377
000048.SZ,京基智农,农林牧渔,"9,261,334,730.31",9.5274
000049.SZ,德赛电池,电子,"13,513,436,472.36",62.3035
000050.SZ,深天马A,电子,"34,973,749,216.03",-12.1219
000055.SZ,方大集团,建材,"4,042,533,720.79",-7.634
000056.SZ,皇庭国际,房地产,"3,069,790,022.12",-27.7778
000058.SZ,深赛格,房地产,"6,735,947,407.82",-13.5353
000059.SZ,华锦股份,石油石化,"8,780,939,528.13",-5.5055
000060.SZ,中金岭南,有色金属,"16,634,733,623.82",10.5211
000061.SZ,农产品,农林牧渔,"11,827,839,993.07",25.6424
000062.SZ,深圳华强,房地产,"12,707,798,262.30",-13.6547
000063.SZ,中兴通讯,通信,"142,139,976,763.57",-4.4708
000065.SZ,北方国际,建筑,"5,671,330,399.46",-13.7586
000066.SZ,中国长城,计算机,"52,268,049,646.05",15.4102
000068.SZ,华控赛格,电力及公用事业,"2,697,879,523.52",-35.7314
000069.SZ,华侨城A,房地产,"56,100,270,378.60",-7.8049
000070.SZ,特发信息,通信,"7,634,828,678.95",-13.1932
000078.SZ,海王生物,医药,"11,058,349,693.14",7.7748
000088.SZ,盐田港,交通运输,"14,372,143,563.33",23.6631
000089.SZ,深圳机场,交通运输,"16,365,140,681.82",-17.5107
000090.SZ,天健集团,建筑,"11,229,958,058.34",20.6141
000096.SZ,广聚能源,石油石化,"5,158,560,000.00",-14.1542
000099.SZ,中信海直,交通运输,"4,387,949,840.80",-1.3188
000100.SZ,TCL科技,电子,"94,006,282,025.40",53.44
000150.SZ,宜华健康,医药,"2,685,754,524.42",-36.1169
000151.SZ,中成股份,商贸零售,"2,394,478,200.00",-22.7738
000153.SZ,丰原药业,医药,"2,731,235,762.50",32.3752
000155.SZ,川能动力,商贸零售,"9,550,400,000.00",73.6721
000156.SZ,华数传媒,传媒,"12,183,491,167.00",-14.3186
000157.SZ,中联重科,机械,"71,020,738,754.98",42.6624
000158.SZ,常山北明,计算机,"9,879,451,335.78",-9.3842
000159.SZ,国际实业,石油石化,"2,408,236,824.93",-11.6341
000166.SZ,申万宏源,非银行金融,"119,470,627,802.40",1.1885
000301.SZ,东方盛虹,石油石化,"44,335,701,651.22",80.6922
000333.SZ,美的集团,家电,"668,404,749,722.01",67.833
000338.SZ,潍柴动力,汽车,"118,153,785,200.50",-0.2966
000400.SZ,许继电气,电力设备及新能源,"14,721,578,711.40",36.1692
000401.SZ,冀东水泥,建材,"19,296,528,128.48",-13.4348
000402.SZ,金融街,房地产,"19,398,155,096.43",-16.8938
000403.SZ,双林生物,医药,"17,643,934,082.78",99.417
000404.SZ,长虹华意,家电,"3,549,579,492.90",29.8646
000407.SZ,胜利股份,电力及公用事业,"3,854,770,793.28",24.1694
000408.SZ,*ST藏格,基础化工,"14,953,346,415.00",1.626
000409.SZ,ST地矿,综合,"2,064,161,878.32",-16.1826
000410.SZ,*ST沈机,机械,"6,365,655,868.32",-44.4934
000411.SZ,英特集团,医药,"4,804,540,745.50",59.4302
000413.SZ,东旭光电,电子,"14,362,805,701.80",-23.5119
000415.SZ,渤海租赁,非银行金融,"14,904,696,289.62",-36.5789
